Date,Return,Price,Equity_Rtn,Mortgage_Rtn,Equity_Price,Mortgage_Price
9/1/1998,1144.13,96.32,2566.38,435.09,271,20.46
10/1/1998,1112.97,93.1,2518.87,372.66,264.26,17.36
11/1/1998,1133.23,94.26,2555.96,411.11,266.79,19.13
12/1/1998,1099.09,91.03,2491.53,356.6,259,16.46
1/1/1999,1077.24,88.91,2439.47,352.29,252.79,16.16
2/1/1999,1048.32,86.13,2382.18,332.81,245.63,15.26
3/1/1999,1043.05,84.83,2371.43,333.54,242.02,15.24
4/1/1999,1144.33,92.56,2596.46,379.2,263.65,17.12
5/1/1999,1169.51,94.17,2653.5,390.24,268.24,17.51
6/1/1999,1153.42,92.09,2610.53,404.76,261.65,18.09
7/1/1999,1111.09,88.22,2527.46,351.2,252.03,15.5
8/1/1999,1086.83,85.68,2495.34,286.34,246.99,12.59
9/1/1999,1046.38,81.75,2400.6,275.62,235.46,12.08
10/1/1999,1019.39,79.11,2341.56,264.04,228.3,11.33
11/1/1999,997.96,76.86,2303.47,229.89,222.89,9.75
12/1/1999,1027.92,78.23,2376.42,238.15,227.37,9.86
1/1/2000,1031.41,78.23,2384.25,233.72,227.34,9.67
2/1/2000,1017.95,76.75,2355.84,228.04,223.26,9.4
3/1/2000,1050.95,78.47,2433.3,239.16,228.39,9.74
4/1/2000,1120.17,83.2,2596.8,237.41,242.59,9.56
5/1/2000,1131.89,83.59,2622.34,234.17,243.55,9.33
6/1/2000,1161.92,85.07,2689.61,242.96,247.66,9.54
7/1/2000,1260.66,91.9,2924.69,245.54,268.29,9.57
8/1/2000,1210.66,87.78,2805.99,250.44,255.96,9.72
9/1/2000,1249.59,89.78,2895.27,261.14,261.7,10.03
10/1/2000,1196.02,85.48,2769.93,265.23,249.2,10.08
11/1/2000,1210.26,86.04,2805.5,262.55,251.04,9.91
12/1/2000,1294.05,90.68,3002.97,276.15,264.9,10.19
1/1/2001,1312.88,91.72,3034.31,315.28,266.87,11.62
2/1/2001,1295.87,90.06,2985.85,328.69,261.2,12.08
3/1/2001,1307.67,90.18,3014.83,339.7,261.48,12.56
4/1/2001,1342.06,92.1,3086.75,367,266.56,13.36
5/1/2001,1376.06,93.89,3161.48,397.86,271.42,14.36
6/1/2001,1456.51,98.65,3346.78,411.57,285.22,14.7
7/1/2001,1431.32,96.34,3280.3,437.29,278.1,14.92
8/1/2001,1479.8,98.99,3400.25,413.4,286.59,13.63
9/1/2001,1420.49,94.27,3259.05,430.58,272.53,13.95
10/1/2001,1382.22,91.26,3165.8,438.27,263.53,13.96
11/1/2001,1456.21,95.64,3340.02,442.07,276.57,13.98
12/1/2001,1494.65,97.07,3421.37,489.74,280.4,14.91
1/1/2002,1500.34,97.08,3428.08,499.42,279.9,15.19
2/1/2002,1527.5,98.4,3494.18,489.13,283.97,14.88
3/1/2002,1618.94,103.54,3703.79,513.77,298.82,15.52
4/1/2002,1640.2,104.47,3735.37,566.8,300.37,16.8
5/1/2002,1663.91,105.35,3785.94,599.29,302.62,17.63
6/1/2002,1709.47,107.46,3889.42,634.34,308.69,18.42
7/1/2002,1623.17,101.46,3685.98,600.58,291.53,17.23
8/1/2002,1622.78,100.82,3678.77,630.3,289.19,17.91
9/1/2002,1558.64,96.07,3537.59,582.44,275.99,16.26
10/1/2002,1487.43,91.28,3367.35,568.24,261.69,15.7
11/1/2002,1554.81,94.76,3525.92,589.25,272.1,16.15
12/1/2002,1572.61,94.98,3552.1,641.93,271.66,17.03
1/1/2003,1528.74,91.99,3448.83,634.99,262.91,16.58
2/1/2003,1553.5,92.98,3505.89,639.21,265.74,16.67
3/1/2003,1585.62,94.05,3576.08,660.15,268.7,16.97
4/1/2003,1661.26,98.09,3733.31,734.03,279.55,18.51
5/1/2003,1762.95,103.53,3958.77,780.71,294.7,19.68
6/1/2003,1808.81,105.43,4044.88,831.13,298.98,20.64
7/1/2003,1903.5,110.47,4261.36,869.64,313.73,21.47
8/1/2003,1911.69,110.43,4284.18,855.1,313.94,20.98
9/1/2003,1971.87,113.17,4429.85,851.75,322.25,20.68
10/1/2003,2014.35,115.14,4509.88,922.1,326.9,22.21
11/1/2003,2105.34,119.78,4706.49,986.61,339.69,23.46
12/1/2003,2177.53,122.85,4871.12,1010.33,349.02,23.54
1/1/2004,2271.21,127.73,5081.85,1060.3,362.9,24.68
2/1/2004,2321.02,130.08,5170.71,1137.11,367.86,26.45
3/1/2004,2450.94,136.52,5456.47,1220.74,385.87,28.14
4/1/2004,2076.83,115.23,4660.84,930.97,328.47,21.34
5/1/2004,2223.5,122.84,4993.06,987.92,350.37,22.5
6/1/2004,2290.04,125.64,5139.48,1021.87,358.25,22.99
7/1/2004,2291.01,125.22,5156.41,989.36,358.26,22.12
8/1/2004,2471.59,134.58,5565.66,1069.92,385.23,23.79
9/1/2004,2476.38,134,5562.34,1099.09,382.69,24.2
10/1/2004,2588.96,139.6,5860.44,1056.6,401.91,23.14
11/1/2004,2709.02,145.22,6112.63,1144.55,416.84,24.83
12/1/2004,2839.7,150.94,6409.3,1196.57,434.01,25.4
1/1/2005,2615.03,138.71,5871.11,1162.32,396.8,24.57
2/1/2005,2673.98,141.35,6051.17,1097.45,407.41,23.19
3/1/2005,2624.25,137.88,5957.39,1044.04,398.73,21.88
4/1/2005,2747.03,143.78,6274.28,1036.46,418.76,21.45
5/1/2005,2845.25,148.33,6491.74,1084.39,431.57,22.34
6/1/2005,2978.97,154.45,6818.11,1107.73,450.87,22.63
7/1/2005,3174.61,164.04,7304.69,1117.51,481.85,22.59
8/1/2005,3039.81,156.37,7037.58,998.87,462.13,20.09
9/1/2005,3036.75,155.27,7079.51,921.91,462.1,18.4
10/1/2005,2953.72,150.47,6911.99,862.58,449.94,17
11/1/2005,3081.86,156.25,7203.22,921.67,466.82,17.99
12/1/2005,3075.06,154.73,7188.85,919.11,462.98,17.56
1/1/2006,3290.26,165.16,7714,957.97,495.63,18.23
2/1/2006,3337.77,166.92,7852.01,921.42,502.5,17.51
3/1/2006,3504.79,174.39,8248.59,968.23,525.52,18.18
4/1/2006,3396.04,168.49,7942.04,1012.46,504.7,18.91
5/1/2006,3301.52,163.17,7715.96,994.04,488.5,18.44
6/1/2006,3466.31,170.42,8117.39,1028.06,511.55,18.83
7/1/2006,3570.76,175.07,8391.19,1013.94,527.48,18.49
8/1/2006,3692.92,180.45,8708.79,985.49,545.73,17.83
9/1/2006,3766.03,183.11,8869.74,1027.34,553.33,18.37
10/1/2006,4004,194.18,9425.35,1067.69,586.67,19.02
11/1/2006,4182.43,202.18,9863.5,1079.5,612.09,19.07
12/1/2006,4131.39,198.53,9709.31,1096.72,599.59,19.04
1/1/2007,4455,213.68,10526.96,1115.36,648.86,19.3
2/1/2007,4325.12,206.99,10291.24,987.82,632.86,17.05
3/1/2007,4216.98,200.9,10045.6,940.28,615.23,16.06
4/1/2007,4221.58,200.58,10043.61,954.68,613.61,16.25
5/1/2007,4226,200.19,10048.86,964.68,612.12,16.33
6/1/2007,3843.94,181.2,9137.56,877.7,554.19,14.67
7/1/2007,3505.89,164.85,8424.63,683.6,509.77,11.4
8/1/2007,3698.61,173.27,8978.24,598.97,541.33,9.9
9/1/2007,3855.55,179.69,9373.8,630.64,562.6,10.25
10/1/2007,3886.98,180.62,9478.84,614.11,567.24,9.97
11/1/2007,3551.79,164.54,8619.15,599.93,514.27,9.67
12/1/2007,3394.71,156.07,8185.75,632.27,485.36,9.96
1/1/2008,3384.36,155.19,8101.79,683.36,478.96,10.76
2/1/2008,3254.17,148.75,7813.51,655.24,460.38,10.3
