Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price
36281,1301.84,268.238,70.87,4.59
36312,1372.71,261.654,-43.99,-6.584
36342,1328.72,252.0305,-8.31,-9.6235
36373,1320.41,246.9852,-37.7,-5.0453
36404,1282.71,235.4641,80.22,-11.5211
36434,1362.93,228.3005,25.98,-7.1636
36465,1388.91,222.889,80.34,-5.4115
36495,1469.25,227.368,-74.79,4.479
36526,1394.46,227.338539,-28.04,-0.029461
36557,1366.42,223.264399,132.16,-4.07414
36586,1498.58,228.388613,-46.15,5.124214
36617,1452.43,242.592056,-31.83,14.203443
36647,1420.6,243.549408,34,0.957352
36678,1454.6,247.662544,-23.77,4.113136
36708,1430.83,268.290631,86.85,20.628087
36739,1517.68,255.962913,-81.17,-12.327718
36770,1436.51,261.699129,-7.11,5.736216
36800,1429.4,249.200475,-114.45,-12.498654
36831,1314.95,251.035159,5.33,1.834684
36861,1320.28,264.902647,45.73,13.867488
36892,1366.01,266.870675,-126.07,1.968028
36923,1239.94,261.200666,-79.61,-5.670009
36951,1160.33,261.476401,89.13,0.275735
36982,1249.46,266.563385,6.36,5.086984
37012,1255.82,271.415258,-31.44,4.851873
37043,1224.38,285.2214,-13.15,13.806142
37073,1211.23,278.095638,-77.65,-7.125762
37104,1133.58,286.585674,-92.64,8.490036
37135,1040.94,272.531668,18.84,-14.054006
37165,1059.78,263.526792,79.67,-9.004876
37196,1139.45,276.566205,8.63,13.039413
37226,1148.08,280.396436,-17.88,3.830231
37257,1130.2,279.90071,-23.47,-0.495726
37288,1106.73,283.968987,40.66,4.068277
37316,1147.39,298.821724,-70.47,14.852737
37347,1076.92,300.368831,-9.78,1.547107
37377,1067.14,302.616917,-77.32,2.248086
37408,989.82,308.69182,-78.2,6.074903
37438,911.62,291.528727,4.45,-17.163093
37469,916.07,289.188109,-100.79,-2.340618
37500,815.28,275.988778,70.48,-13.199331
37530,885.76,261.690433,50.55,-14.298345
37561,936.31,272.099778,-56.49,10.409345
37591,879.82,271.657536,-24.12,-0.442242
37622,855.7,262.913148,-14.55,-8.744388
37653,841.15,265.735517,7.03,2.822369
37681,848.18,268.69558,68.74,2.960063
37712,916.92,279.551866,46.67,10.856286
37742,963.59,294.695237,10.91,15.143371
37773,974.5,298.975539,15.81,4.280302
37803,990.31,313.727735,17.7,14.752196
37834,1008.01,313.94116,-12.04,0.213425
37865,995.97,322.24767,54.74,8.30651
37895,1050.71,326.901471,7.49,4.653801
37926,1058.2,339.686966,53.72,12.785495
37956,1111.92,349.021812,19.21,9.334846
37987,1131.13,362.896485,13.81,13.874673
38018,1144.94,367.860354,-18.73,4.963869
38047,1126.21,385.869837,-18.91,18.009483
38078,1107.3,328.469673,13.38,-57.400164
38108,1120.68,350.374982,20.16,21.905309
38139,1140.84,358.248,-39.12,7.873018
38169,1101.72,358.260338,2.52,0.012338
38200,1104.24,385.22844,10.34,26.968102
38231,1114.58,382.691547,15.62,-2.536893
38261,1130.2,401.911031,43.62,19.219484
38292,1173.82,416.84284,38.1,14.931809
